Word (Visual),StrengthMean,ALL,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
clear,4.524,209.120,114.450,151.770,171.190,167.880,160.420,160.840,168.680,168.210,178.960,187.510,166.180,175.550,195.590,192.770,198.230,182.210,186.990,179.790,177.620,190.000
vivid,4.524,18.370,23.060,18.450,20.370,21.710,20.130,20.330,20.780,18.700,22.250,24.200,21.830,14.800,12.810,11.410,10.370,10.860,11.520,11.190,12.490,10.150
muddy,4.524,10.290,3.290,5.540,5.630,5.440,8.680,8.300,8.370,7.250,7.050,9.220,10.890,9.710,9.230,9.560,8.070,6.560,7.910,11.610,12.640,9.590
icy,4.524,12.030,6.590,9.550,11.320,13.060,9.800,10.010,9.370,11.110,8.370,8.350,8.560,9.670,9.050,9.770,8.820,8.910,10.790,10.620,14.240,12.830
flat,4.524,60.080,15.610,21.080,24.990,22.190,29.340,34.010,30.800,36.030,46.140,57.440,54.860,70.090,65.660,57.050,61.500,59.520,59.900,61.750,63.470,56.470
foamy,4.524,0.680,0.430,0.660,1.010,1.090,0.650,0.370,0.250,0.490,0.270,0.300,0.310,0.510,0.330,0.240,0.520,0.420,0.440,0.970,0.890,1.210
petite,4.524,2.110,0.430,0.800,0.250,0.850,1.480,1.380,1.990,0.730,1.820,0.780,1.010,0.760,0.690,1.570,1.300,2.050,1.570,2.230,4.450,4.910
striped,4.524,7.170,2.150,2.040,8.160,10.100,3.720,3.620,3.890,3.130,4.500,4.930,4.860,6.280,6.750,5.790,6.280,7.250,7.840,9.560,6.920,6.880
gold,4.524,147.140,78.780,144.920,142.090,138.180,164.670,141.630,131.260,172.810,154.020,142.320,152.450,171.030,112.630,96.750,101.850,141.630,97.550,98.040,100.340,85.070
curved,4.500,10.400,4.150,3.650,4.810,6.410,5.730,5.430,5.880,8.620,8.460,9.350,7.700,10.500,10.580,8.440,11.710,8.710,9.040,10.950,12.090,10.920
crooked,4.476,11.660,5.160,7.070,9.110,7.560,7.970,10.800,10.120,8.080,8.190,14.500,14.120,12.960,11.240,10.780,8.380,9.160,7.030,8.900,9.710,11.540
round,4.476,177.230,177.760,273.570,271.400,265.420,244.560,268.300,222.950,213.490,163.940,159.630,157.390,163.740,128.910,109.900,96.040,98.860,86.800,87.030,87.790,94.660
hairy,4.476,6.110,0.290,1.820,2.400,1.940,3.370,1.920,1.840,2.990,9.100,2.730,11.090,5.230,4.820,4.050,6.870,6.350,7.000,8.330,5.770,4.940
amber,4.476,8.100,2.720,2.630,5.310,3.570,4.370,4.150,4.980,4.500,4.870,3.460,11.670,3.790,3.500,3.840,3.710,3.640,4.690,11.580,13.150,21.070
pink,4.476,41.070,1.290,5.760,12.910,13.970,14.410,20.700,24.070,23.740,48.190,39.650,32.760,35.980,36.200,35.900,32.350,32.570,34.640,52.550,55.140,59.210
beige,4.476,2.600,0.000,0.070,0.000,0.120,0.120,0.110,0.000,0.050,0.000,0.170,0.390,1.080,3.250,2.060,2.470,3.780,4.690,4.980,5.890,4.570
chequered,4.474,0.380,1.860,1.600,1.460,1.390,0.350,0.160,0.350,0.290,0.140,0.130,0.190,0.610,0.220,0.140,0.030,0.170,0.100,0.060,0.030,0.030
puny,4.471,2.850,2.580,1.970,3.350,2.900,2.950,1.760,2.090,3.430,1.870,2.250,2.800,3.000,3.280,2.720,2.300,1.600,1.510,3.350,2.100,1.520
globular,4.444,1.390,1.290,1.170,1.900,2.000,0.590,1.330,0.750,0.390,1.050,0.650,1.170,1.620,0.400,0.490,1.510,1.320,0.370,1.840,1.490,2.030
boiling,4.429,13.120,4.870,20.640,10.750,11.490,13.930,9.050,28.700,7.780,10.830,11.040,10.820,10.030,10.000,10.360,9.790,8.010,10.280,11.160,10.540,8.940
deep,4.429,192.800,260.410,272.990,315.430,257.080,175.540,175.800,180.000,170.120,159.890,146.950,147.510,126.680,136.750,130.380,117.610,121.860,135.370,156.230,172.740,170.850
spilling,4.429,4.390,1.290,0.510,0.820,0.850,0.650,0.750,0.950,0.540,1.050,1.510,2.060,3.100,3.180,4.360,4.530,6.240,5.190,6.520,8.790,7.980
swinging,4.429,18.510,3.290,6.640,9.870,9.860,10.980,12.510,14.750,18.410,18.520,19.220,20.580,23.420,20.990,17.030,19.020,15.710,12.760,13.540,15.850,13.850
dark,4.429,250.560,203.250,220.480,327.070,248.610,208.190,208.850,200.880,200.130,199.520,181.750,179.570,209.650,214.420,182.270,182.060,173.260,191.780,250.620,255.130,249.990
bulky,4.429,4.540,2.440,2.480,3.290,2.420,2.480,1.810,2.240,2.300,3.090,3.980,4.050,4.330,4.850,4.290,4.150,4.540,4.560,5.370,5.080,4.120
crimson,4.429,14.840,15.180,21.520,32.830,30.660,22.730,25.390,21.230,19.090,21.340,12.640,12.060,7.800,8.250,7.710,4.670,5.790,6.130,6.090,7.010,6.710
flowery,4.429,2.770,4.300,4.520,6.260,8.280,4.840,4.100,3.940,3.280,2.230,2.080,1.670,1.440,1.200,1.220,0.960,1.180,1.140,1.210,1.460,1.520
square,4.429,83.470,43.540,65.640,50.610,53.100,60.870,62.380,56.010,70.840,88.860,84.060,84.430,82.400,84.600,80.000,68.060,62.780,69.240,64.160,75.580,72.580
hollow,4.381,25.310,30.940,36.690,44.030,31.750,25.860,27.890,23.970,29.320,22.710,27.920,23.230,17.970,17.080,16.120,14.520,14.780,14.640,17.590,17.490,17.520
high,4.381,399.470,316.990,337.240,347.630,367.560,282.580,246.640,283.350,312.480,306.130,306.800,351.860,334.200,356.860,361.740,342.140,345.170,343.400,366.580,398.970,378.280
grotesque,4.381,7.520,3.010,6.930,9.170,6.410,6.970,9.370,9.270,7.100,8.600,8.960,10.190,7.070,6.420,4.680,5.290,6.730,4.960,4.250,3.360,3.840
radiant,4.381,11.340,6.880,14.290,21.950,20.560,14.760,18.730,14.750,18.650,16.340,13.590,13.110,5.560,5.470,5.060,4.500,4.230,5.290,4.740,5.660,4.460
glistening,4.381,6.620,4.150,4.890,6.010,8.410,5.080,6.710,5.880,6.850,6.690,5.630,6.190,5.090,5.180,4.640,5.080,4.930,5.660,5.790,5.890,4.940
hazy,4.381,4.680,0.430,2.410,2.530,2.720,4.190,5.110,2.840,2.790,15.930,3.420,4.200,4.190,2.660,3.140,2.990,2.910,3.520,3.650,4.110,3.840
murky,4.381,3.350,1.720,2.260,3.800,1.940,2.660,1.920,1.690,1.520,1.500,1.820,1.980,1.950,2.150,2.020,2.950,2.910,4.420,4.680,4.970,4.150
mouldy,4.381,0.830,0.720,1.170,2.020,1.870,2.540,1.920,1.840,1.320,1.050,0.740,0.540,0.510,0.440,0.170,0.070,0.210,0.130,0.090,0.060,0.170
mottled,4.364,2.470,0.720,1.170,3.350,3.080,1.480,1.650,1.300,2.110,1.230,1.600,2.300,1.800,1.930,1.670,2.160,1.560,2.580,2.590,3.390,2.430
stormy,4.333,8.710,14.610,12.760,14.930,17.780,15.880,13.890,13.110,11.460,8.010,7.140,7.280,6.280,5.880,5.060,4.290,3.680,4.660,3.080,3.250,2.880
happy,4.333,194.770,231.190,193.420,180.810,214.080,214.510,206.940,194.500,180.010,163.260,156.300,145.450,145.920,149.930,156.550,146.210,145.960,147.400,150.470,162.890,169.720
plastic,4.333,28.600,1.430,1.170,4.810,4.780,4.310,2.660,3.790,3.330,3.280,3.720,9.920,4.040,7.740,13.610,26.100,39.470,41.440,61.750,71.190,66.230
dim,4.333,32.560,32.370,44.710,52.320,46.690,46.350,36.140,46.140,39.650,29.530,27.960,27.940,25.370,23.360,21.630,18.160,21.120,17.190,19.550,19.760,16.530
tangerine,4.333,0.590,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.050,0.090,0.000,0.040,0.400,0.290,0.630,0.820,0.490,1.000,1.060,1.720,0.960
bronze,4.333,12.720,1.720,3.280,6.200,5.320,12.220,10.110,20.130,12.090,15.650,10.430,12.220,11.370,8.030,10.430,11.710,9.120,8.880,12.130,14.100,10.300
dull,4.286,38.950,32.370,35.660,42.770,42.760,48.240,49.070,47.740,43.180,42.500,41.210,44.670,40.820,37.040,28.190,28.160,23.730,20.030,20.090,20.330,17.880
breakable,4.286,0.220,0.000,0.000,0.000,0.060,0.000,0.050,0.050,0.000,0.140,0.090,0.230,0.180,0.150,0.420,0.170,0.070,0.170,0.450,0.290,0.510
low,4.286,183.230,155.990,141.710,178.150,182.030,176.190,192.410,200.630,204.000,180.230,166.770,166.110,174.460,144.130,130.450,128.390,128.900,133.590,136.990,140.000,143.710
rusty,4.286,11.630,2.580,5.620,6.450,5.810,7.680,6.710,5.580,4.450,14.830,10.000,8.720,10.180,10.440,6.560,13.940,9.470,8.840,9.290,21.710,11.650
plain,4.286,89.130,122.180,115.090,122.350,112.600,101.440,118.480,107.590,111.570,109.290,103.750,94.820,75.680,72.960,65.490,53.290,50.540,46.830,41.360,37.680,33.540
angular,4.286,4.210,2.010,2.700,4.110,4.350,3.600,2.820,2.240,2.840,3.590,2.810,3.190,4.110,2.920,4.220,4.050,2.640,3.450,3.890,3.650,5.810
fleshy,4.286,2.520,0.430,1.970,3.420,4.540,2.240,1.380,0.800,1.080,2.370,1.950,1.320,1.620,1.310,1.710,1.960,1.840,3.050,3.080,3.100,2.510
